frb_name,b_kpc,z_gal,logmass,dm_cos_delta
FRB20190523A,83.26068351527857,0.112927,10.181824249638879,0.2111758394318599
FRB20190523A,751.5178582496702,0.462509,11.065514066868126,0.2111758394318599
FRB20190523A,942.2166566018113,0.36761,10.559589411714228,0.2111758394318599
FRB20190523A,1052.525595129276,0.496785,10.303391754961304,0.2111758394318599
FRB20190523A,772.7846388361398,0.328108,11.202508064393298,0.2111758394318599
FRB20190523A,939.7820577433946,0.477057,11.35830339903761,0.2111758394318599
FRB20190523A,1138.6055899055614,0.327454,10.718094754176642,0.2111758394318599
FRB20190523A,890.7675102987449,0.296718,10.461826094243627,0.2111758394318599
FRB20190523A,1256.9682537125616,0.358895,10.827388667874018,0.2111758394318599
FRB20190523A,1307.758416123612,0.430412,10.689941932527683,0.2111758394318599
FRB20190523A,1431.1464907685695,0.394017,10.897593907111514,0.2111758394318599
FRB20190523A,1572.5523108420925,0.404875,10.082986467865055,0.2111758394318599
FRB20190523A,1099.480180851587,0.327949,10.346728719633484,0.2111758394318599
FRB20190523A,1393.2738496468733,0.432834,10.600830388989152,0.2111758394318599
FRB20190523A,1886.2464347095065,0.354321,11.489968279214617,0.2111758394318599
FRB20190523A,1778.6841709249081,0.420811,11.082720837838735,0.2111758394318599
FRB20190523A,1829.4746123564232,0.452942,10.969525489213709,0.2111758394318599
FRB20190523A,1705.2628862345093,0.467207,10.793871159618082,0.2111758394318599
FRB20190523A,1492.6437698479415,0.316985,10.05887211762443,0.2111758394318599
FRB20190523A,1820.3754058866434,0.477641,11.322623516282162,0.2111758394318599
FRB20190523A,1384.7276318903348,0.260138,10.643768489149748,0.2111758394318599
FRB20190523A,1836.1798164271042,0.483926,11.839885301965277,0.2111758394318599
FRB20190523A,1307.668549574907,0.340831,10.116770915884269,0.2111758394318599
FRB20190523A,1436.5486617083675,0.489131,11.089126349914043,0.2111758394318599
FRB20190523A,1408.5280004752651,0.331108,10.179023391752597,0.2111758394318599
FRB20190523A,1058.5764742655674,0.284015,10.602333763822323,0.2111758394318599
FRB20190523A,1247.6443004033365,0.344476,10.549341436847252,0.2111758394318599
FRB20190523A,564.0398883491531,0.096608,11.086303448374778,0.2111758394318599
FRB20190523A,701.7062648185951,0.118664,10.133499883371712,0.2111758394318599
FRB20190523A,1957.2099910515885,0.494863,10.8864304980992,0.2111758394318599
FRB20190523A,1984.5878273186336,0.495728,11.693241017424512,0.2111758394318599
FRB20190523A,1762.9291371154243,0.438694,10.568359617208694,0.2111758394318599
FRB20190523A,1822.4774905449628,0.345814,10.075133240073127,0.2111758394318599
FRB20190523A,955.5091744901365,0.12717,10.227695291223668,0.2111758394318599
FRB20190523A,1646.343671661165,0.288003,10.02786940185171,0.2111758394318599
FRB20190523A,1835.0922051013708,0.290421,10.763329266245073,0.2111758394318599
FRB20190523A,1726.0447927559085,0.476255,11.268920818689901,0.2111758394318599
FRB20190523A,1097.087186561339,0.312682,10.469157551641823,0.2111758394318599
FRB20190523A,1673.8935911121296,0.432616,10.553399406994002,0.2111758394318599
FRB20190523A,1278.1252776981232,0.346627,10.082297102035746,0.2111758394318599
FRB20190523A,1128.8741690785857,0.255248,10.54937110270069,0.2111758394318599
FRB20190523A,671.4082248300338,0.130271,10.681315776909182,0.2111758394318599
FRB20190523A,1149.3496817498676,0.205506,10.801816882458937,0.2111758394318599
FRB20190523A,1311.814179668641,0.319219,11.38157696775503,0.2111758394318599
FRB20190523A,1613.373129825463,0.437465,11.453962526952346,0.2111758394318599
FRB20190523A,1785.0513907212455,0.350959,10.477956625886117,0.2111758394318599
FRB20190523A,1886.7311651188866,0.387349,10.25514223307841,0.2111758394318599
FRB20190523A,1925.805892575737,0.236454,10.233318077974236,0.2111758394318599
FRB20190523A,823.375786588652,0.096206,10.030648361977567,0.2111758394318599
FRB20190523A,1023.3000211890757,0.148439,10.15187261194578,0.2111758394318599
FRB20190523A,834.1610318763237,0.111026,11.36034339951244,0.2111758394318599
FRB20190523A,1618.2718628524378,0.191692,10.239950744041208,0.2111758394318599
FRB20190523A,1575.2872573034258,0.183742,10.692201387568156,0.2111758394318599
FRB20190523A,1052.2692482335592,0.118236,10.63765572350086,0.2111758394318599
FRB20190523A,1548.0166784795447,0.22972,10.498202797984405,0.2111758394318599
FRB20190523A,1300.2149300795745,0.198657,10.247613243822355,0.2111758394318599
FRB20190523A,1832.1394272471491,0.2483,10.795156899075232,0.2111758394318599
FRB20190523A,1373.7351279134627,0.170875,10.397875465130198,0.2111758394318599
FRB20190523A,1174.2723609031427,0.131145,10.357658226422892,0.2111758394318599
FRB20190523A,1755.085173684198,0.299063,10.4847456390588,0.2111758394318599
FRB20190523A,1509.6643245759888,0.232303,11.029013810941118,0.2111758394318599
FRB20190523A,1424.0665006124568,0.218725,10.581331305287874,0.2111758394318599
